geometry,relative_pops_difference,pops_2006,pops_2021
POINT (18.741713234685502 49.201242838645626),8249.0,5006.0,13255.0
POINT (18.055278527744257 48.3036617938997),8237.0,4131.0,12368.0
POINT (19.170820249041313 48.75951811892758),7803.0,4045.0,11848.0
POINT (18.77059455472996 49.20802689163776),6741.0,4271.0,11012.0
POINT (21.27256497088813 48.992090861473805),6666.0,5052.0,11718.0
